65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,-1,-1,-1,-1,-1,65863,65864,65864,65864,65864,65864,65864,65865,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,65863,65864,65865,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65855,-1,-1,-1,-1,65850,65850,-1,-1,-1,-1,-1,-1,-1,-1,65850,65850,65850,65850,-1,131365,-1,-1,-1,-1,131365,-1,-1,-1,-1,-1,-1,-1,-1,65890,65891,65891,65891,65891,65891,65891,65892,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,65890,65891,65892,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
65850,65850,65850,65850,65850,65850,-1,-1,-1,-1,-1,-1,65850,65850,65850,65850,65850,65850,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,65850,65850,65850,-1,-1,-1,-1,-1,65850,65850,-1,-1,-1,-1,-1,-1,65838,65880,65850,65850,65850,-1,-1,131365,-1,-1,-1,-1,131365,-1,-1,-1,-1,-1,-1,-1,-1,65917,65918,65918,65918,65998,65918,65918,65919,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,65863,65864,65865,-1,65917,65918,65919,65863,65864,65864,65865,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
65850,65850,65850,65850,-1,-1,-1,-1,-1,-1,-1,-1,65850,65850,65850,65850,65850,65850,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,65850,65850,-1,-1,-1,65856,65850,-1,-1,-1,-1,-1,-1,65838,65850,65850,65850,65850,65850,-1,-1,131365,-1,-1,-1,-1,131365,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,66025,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,65890,65891,65892,66000,66000,66024,-1,65890,65891,65891,65892,-1,-1,-1,65837,-1,65837,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
65850,65850,65850,-1,-1,-1,-1,-1,-1,-1,-1,-1,65850,65850,65850,-1,-1,-1,-1,-1,-1,-1,-1,65838,-1,-1,-1,-1,-1,-1,-1,-1,65850,-1,-1,-1,65850,65850,-1,-1,-1,-1,-1,65838,65850,65850,65850,65850,65850,65850,-1,-1,131365,-1,-1,-1,-1,131365,-1,65796,65796,65796,65796,65796,-1,65838,65822,65822,65822,65838,65997,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,65917,65918,65919,-1,-1,66026,66000,65890,65891,65891,65892,-1,-1,65837,131342,65881,131342,65837,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,65850,65850,65850,-1,-1,-1,-1,-1,-1,-1,65850,65850,65850,-1,-1,-1,-1,-1,-1,-1,-1,-1,65850,65850,65850,-1,-1,-1,65796,-1,65838,65850,65850,65850,65850,65850,65850,-1,-1,-1,131365,-1,-1,-1,-1,131365,65796,65796,-1,-1,-1,-1,-1,131342,131342,131342,131342,131342,65997,65863,65864,65865,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,65862,66000,66024,-1,65917,65918,65918,65919,-1,65837,131342,-1,-1,-1,131342,65837,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,65850,65850,65850,-1,65838,65959,-1,-1,-1,-1,65850,65850,65850,-1,-1,-1,-1,-1,-1,-1,65850,65850,65850,65850,-1,-1,-1,-1,-1,-1,65850,65850,65850,65850,65850,65850,65850,-1,-1,-1,131365,-1,-1,65796,65796,131365,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,66026,65890,65891,65892,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,65997,-1,-1,-1,-1,-1,65837,131342,131342,-1,-1,-1,131342,131342,65837,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,65850,65850,65850,65850,65850,65850,-1,-1,-1,-1,65850,65850,65850,-1,-1,-1,-1,-1,-1,-1,65850,65850,65850,65850,66041,66041,66041,66041,66041,66041,65850,65850,65850,65850,65850,65850,-1,-1,-1,-1,131365,-1,65796,-1,-1,131365,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,65972,65973,66024,65917,65918,65919,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,65997,-1,-1,-1,-1,-1,131342,131342,-1,-1,65992,-1,-1,131342,131342,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
65856,-1,66043,65962,66016,-1,-1,-1,-1,-1,-1,-1,65850,65850,65850,65850,65850,65850,-1,-1,-1,-1,65850,65850,65850,-1,-1,-1,-1,-1,-1,-1,-1,65850,65850,65850,-1,-1,65796,-1,-1,-1,-1,-1,65850,65850,-1,-1,-1,-1,-1,-1,131365,65796,-1,-1,-1,131365,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,65997,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,65997,-1,-1,-1,-1,-1,131356,-1,-1,-1,66019,-1,-1,-1,131356,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
65875,65875,65875,65875,65875,65875,65875,66041,66041,66041,66041,66041,65850,65850,65850,65850,65850,65850,-1,-1,-1,65855,65850,65850,65850,-1,-1,-1,65904,-1,66016,-1,-1,-1,65850,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,65881,65959,-1,65904,-1,-1,66012,131365,65796,66012,66012,66013,131365,-1,65935,65935,65935,65935,65935,65935,65935,65935,65935,65935,65935,66025,65959,65935,65935,65935,65935,65935,65935,-1,65840,-1,-1,65834,-1,-1,65834,-1,66012,66012,66013,66025,66013,66012,66012,66012,-1,131342,-1,66012,-1,66019,66012,66012,-1,131342,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
65850,65850,65850,65850,65850,65850,65850,-1,-1,-1,-1,-1,65850,65850,65850,65850,65850,65850,66041,66041,66041,65850,65850,65850,65850,-1,-1,65875,65875,65875,65875,-1,-1,-1,-1,-1,-1,-1,-1,65796,-1,-1,-1,66016,65875,65875,65875,65875,65875,65875,65875,65875,65875,65875,65875,65875,65875,65875,65875,65875,65875,65875,65875,65875,65875,65875,65875,65875,65875,65875,65875,65875,65875,65875,65875,65875,65875,65875,65875,65875,65875,65875,65875,65875,65875,65875,65875,65875,65875,65875,65875,65875,65875,65875,65875,65875,65875,65875,65875,65875,65875,65875,65875,65875,65875,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
65850,65850,65850,65850,65850,65850,65850,-1,-1,-1,-1,-1,65850,65850,65850,65850,65850,-1,-1,-1,-1,65850,65850,65850,65850,65855,-1,65850,65850,65850,65850,-1,-1,-1,-1,-1,-1,66016,-1,-1,-1,65837,65875,65875,65850,65850,65850,65850,65850,65850,65850,131342,131342,131342,131342,131342,131342,131342,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
65850,65850,65850,65850,65850,65850,65850,-1,-1,-1,-1,-1,65850,65850,65850,65850,-1,-1,-1,-1,-1,65850,65850,65850,65850,65850,-1,65850,65850,65850,65850,65856,-1,-1,65875,65875,65875,65875,65875,66041,66041,65875,65850,65850,-1,-1,-1,-1,-1,-1,65850,131342,-1,-1,-1,-1,-1,131342,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,65850,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
